========================================================
Contrast_x,y,z=2  5  10
Get kvals from python.
524288  1.31072e+06  2.62144e+06  2.62144e+06  2.62144e+06  2621.44  26214.4  262144  262144  262144  2621.44  6553.6  13107.2  13107.2  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=83,	residual=5.910386e+06,	 rhs=6.710937e+10, relative=8.807095e-05.
  itrIdx=84,	residual=7.791474e+06,	 rhs=6.710937e+10, relative=1.161011e-04.
  itrIdx=85,	residual=7.181141e+06,	 rhs=6.710937e+10, relative=1.070065e-04.
  itrIdx=86,	residual=7.891380e+06,	 rhs=6.710937e+10, relative=1.175898e-04.
  itrIdx=87,	residual=9.697447e+06,	 rhs=6.710937e+10, relative=1.445021e-04.
  itrIdx=88,	residual=1.163795e+07,	 rhs=6.710937e+10, relative=1.734177e-04.
  itrIdx=89,	residual=1.066418e+07,	 rhs=6.710937e+10, relative=1.589074e-04.
  itrIdx=90,	residual=7.341518e+06,	 rhs=6.710937e+10, relative=1.093963e-04.
  itrIdx=91,	residual=6.638791e+06,	 rhs=6.710937e+10, relative=9.892495e-05.
  itrIdx=92,	residual=5.443518e+06,	 rhs=6.710937e+10, relative=8.111414e-05.
  itrIdx=93,	residual=6.598840e+06,	 rhs=6.710937e+10, relative=9.832964e-05.
  itrIdx=94,	residual=8.550619e+06,	 rhs=6.710937e+10, relative=1.274132e-04.
  itrIdx=95,	residual=1.141726e+07,	 rhs=6.710937e+10, relative=1.701291e-04.
  itrIdx=96,	residual=9.452340e+06,	 rhs=6.710937e+10, relative=1.408498e-04.
  itrIdx=97,	residual=7.755984e+06,	 rhs=6.710937e+10, relative=1.155723e-04.
  itrIdx=98,	residual=5.787065e+06,	 rhs=6.710937e+10, relative=8.623334e-05.
  itrIdx=99,	residual=4.024477e+06,	 rhs=6.710937e+10, relative=5.996894e-05.
  itrIdx=100,	residual=3.609167e+06,	 rhs=6.710937e+10, relative=5.378038e-05.
  itrIdx=101,	residual=3.660262e+06,	 rhs=6.710937e+10, relative=5.454174e-05.
  itrIdx=102,	residual=3.224486e+06,	 rhs=6.710937e+10, relative=4.804822e-05.
  itrIdx=103,	residual=2.367448e+06,	 rhs=6.710937e+10, relative=3.527745e-05.
  itrIdx=104,	residual=2.190189e+06,	 rhs=6.710937e+10, relative=3.263611e-05.
  itrIdx=105,	residual=1.997600e+06,	 rhs=6.710937e+10, relative=2.976634e-05.
  itrIdx=106,	residual=2.003490e+06,	 rhs=6.710937e+10, relative=2.985411e-05.
  itrIdx=107,	residual=2.309528e+06,	 rhs=6.710937e+10, relative=3.441439e-05.
