========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
Use the following reference parameters:
2621.44  655.36  104.858  104.858  262144  
GPU solver with FCT preconditioner.
  itrIdx=52,	residual=6.662977e+05,	 rhs=5.964766e+08, relative=1.117056e-03.
  itrIdx=53,	residual=6.395727e+05,	 rhs=5.964766e+08, relative=1.072251e-03.
  itrIdx=54,	residual=6.377272e+05,	 rhs=5.964766e+08, relative=1.069157e-03.
  itrIdx=55,	residual=8.307757e+05,	 rhs=5.964766e+08, relative=1.392805e-03.
  itrIdx=56,	residual=1.725898e+06,	 rhs=5.964766e+08, relative=2.893488e-03.
  itrIdx=57,	residual=6.805467e+05,	 rhs=5.964766e+08, relative=1.140945e-03.
  itrIdx=58,	residual=5.878872e+05,	 rhs=5.964766e+08, relative=9.855997e-04.
  itrIdx=59,	residual=7.900455e+05,	 rhs=5.964766e+08, relative=1.324520e-03.
  itrIdx=60,	residual=5.903040e+05,	 rhs=5.964766e+08, relative=9.896514e-04.
  itrIdx=61,	residual=6.227803e+05,	 rhs=5.964766e+08, relative=1.044098e-03.
  itrIdx=62,	residual=5.168312e+05,	 rhs=5.964766e+08, relative=8.664735e-04.
  itrIdx=63,	residual=7.074842e+05,	 rhs=5.964766e+08, relative=1.186106e-03.
  itrIdx=64,	residual=7.360573e+05,	 rhs=5.964766e+08, relative=1.234009e-03.
  itrIdx=65,	residual=5.051670e+05,	 rhs=5.964766e+08, relative=8.469184e-04.
  itrIdx=66,	residual=5.451695e+05,	 rhs=5.964766e+08, relative=9.139830e-04.
  itrIdx=67,	residual=5.964596e+05,	 rhs=5.964766e+08, relative=9.999714e-04.
  itrIdx=68,	residual=6.522199e+05,	 rhs=5.964766e+08, relative=1.093454e-03.
  itrIdx=69,	residual=4.974120e+05,	 rhs=5.964766e+08, relative=8.339170e-04.
  itrIdx=70,	residual=4.875662e+05,	 rhs=5.964766e+08, relative=8.174104e-04.
  itrIdx=71,	residual=4.897849e+05,	 rhs=5.964766e+08, relative=8.211301e-04.
  itrIdx=72,	residual=4.921859e+05,	 rhs=5.964766e+08, relative=8.251554e-04.
  itrIdx=73,	residual=5.306526e+05,	 rhs=5.964766e+08, relative=8.896453e-04.
  itrIdx=74,	residual=4.451788e+05,	 rhs=5.964766e+08, relative=7.463474e-04.
  itrIdx=75,	residual=4.694242e+05,	 rhs=5.964766e+08, relative=7.869952e-04.
  itrIdx=76,	residual=5.143881e+05,	 rhs=5.964766e+08, relative=8.623776e-04.
  itrIdx=77,	residual=4.820374e+05,	 rhs=5.964766e+08, relative=8.081413e-04.
  itrIdx=78,	residual=4.682671e+05,	 rhs=5.964766e+08, relative=7.850552e-04.
  itrIdx=79,	residual=4.622081e+05,	 rhs=5.964766e+08, relative=7.748972e-04.
  itrIdx=80,	residual=4.612073e+05,	 rhs=5.964766e+08, relative=7.732193e-04.
  itrIdx=81,	residual=5.484274e+05,	 rhs=5.964766e+08, relative=9.194450e-04.
  itrIdx=82,	residual=4.443213e+05,	 rhs=5.964766e+08, relative=7.449098e-04.
  itrIdx=83,	residual=4.601156e+05,	 rhs=5.964766e+08, relative=7.713891e-04.
  itrIdx=84,	residual=4.821019e+05,	 rhs=5.964766e+08, relative=8.082495e-04.
  itrIdx=85,	residual=4.951383e+05,	 rhs=5.964766e+08, relative=8.301051e-04.
  itrIdx=86,	residual=4.733170e+05,	 rhs=5.964766e+08, relative=7.935215e-04.
